epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0479,1.06782,2.36025,1.22562,0.76465,0.55122,0.60238,0.47178,0.90352,0.87271,1.1734,8.26446e-05,8.26446e-05,8.26446e-05
2,76.4525,0.85736,0.90893,1.1021,0.69003,0.7799,0.82796,0.63376,0.87637,0.58339,1.23511,0.000165968,0.000165968,0.000165968
3,113.475,0.80247,0.70122,1.07805,0.85401,0.85564,0.91052,0.71348,0.83038,0.49657,1.20893,0.00024925,0.00024925,0.00024925
4,150.286,0.81758,0.65962,1.09414,0.89814,0.87491,0.93356,0.74882,0.79488,0.46481,1.18344,0.000249863,0.000249863,0.000249863
5,187.238,0.77664,0.58842,1.07887,0.82589,0.91847,0.92457,0.72586,0.81579,0.46009,1.21997,0.000249756,0.000249756,0.000249756
6,223.944,0.75854,0.55453,1.07855,0.94053,0.87292,0.95561,0.74731,0.81112,0.42619,1.20556,0.000249619,0.000249619,0.000249619
7,261.924,0.74797,0.52711,1.05714,0.8858,0.93964,0.96405,0.77746,0.78965,0.40393,1.20265,0.000249451,0.000249451,0.000249451
8,299.196,0.74886,0.52496,1.07303,0.90859,0.94454,0.96099,0.7814,0.77255,0.39717,1.16669,0.000249253,0.000249253,0.000249253
9,336.63,0.7267,0.51146,1.06689,0.93539,0.92559,0.96238,0.78767,0.7526,0.39172,1.15859,0.000249024,0.000249024,0.000249024
10,373.877,0.72222,0.5009,1.06162,0.87871,0.9332,0.94873,0.7695,0.7603,0.37971,1.17242,0.000248765,0.000248765,0.000248765
11,410.861,0.72132,0.49766,1.06636,0.91604,0.93114,0.95828,0.78077,0.75567,0.37513,1.17577,0.000248476,0.000248476,0.000248476
12,447.636,0.71113,0.47978,1.05011,0.92836,0.93918,0.96869,0.77627,0.8179,0.40827,1.20144,0.000248157,0.000248157,0.000248157
13,484.924,0.71293,0.47292,1.04935,0.93757,0.93592,0.96807,0.7938,0.74898,0.36286,1.17262,0.000247808,0.000247808,0.000247808
14,522.542,0.68698,0.46197,1.03936,0.92208,0.95694,0.96841,0.79725,0.75111,0.36606,1.16893,0.000247429,0.000247429,0.000247429
15,560.005,0.67137,0.4435,1.03018,0.96335,0.90467,0.96566,0.79607,0.72718,0.36573,1.16583,0.00024702,0.00024702,0.00024702
16,597.401,0.67539,0.43367,1.03065,0.92194,0.9329,0.95466,0.78934,0.72081,0.36646,1.15276,0.000246581,0.000246581,0.000246581
17,634.671,0.66384,0.43464,1.02945,0.95372,0.9539,0.96999,0.80646,0.72817,0.34903,1.15683,0.000246112,0.000246112,0.000246112
18,671.66,0.66762,0.42543,1.0312,0.94703,0.9398,0.96236,0.80459,0.73383,0.36006,1.14962,0.000245614,0.000245614,0.000245614
19,708.399,0.66483,0.42718,1.0218,0.9445,0.94519,0.96628,0.79542,0.75242,0.35533,1.17928,0.000245086,0.000245086,0.000245086
20,745.386,0.66957,0.41693,1.02668,0.93922,0.9519,0.96455,0.79667,0.71628,0.34769,1.14231,0.000244529,0.000244529,0.000244529
21,782.26,0.64979,0.40966,1.02172,0.93116,0.94263,0.96538,0.80379,0.70151,0.35268,1.14186,0.000243943,0.000243943,0.000243943
22,819.056,0.65755,0.42346,1.018,0.95036,0.95456,0.96577,0.80261,0.72422,0.34796,1.16108,0.000243328,0.000243328,0.000243328
23,856.067,0.64329,0.40181,1.01739,0.95682,0.93903,0.96366,0.80067,0.73788,0.36171,1.15823,0.000242684,0.000242684,0.000242684
24,893.38,0.64008,0.39674,1.01448,0.95254,0.94525,0.96639,0.80825,0.72153,0.33931,1.15387,0.000242011,0.000242011,0.000242011
25,931.225,0.64302,0.3961,1.01775,0.96703,0.9508,0.96628,0.80531,0.7216,0.33827,1.16058,0.00024131,0.00024131,0.00024131
26,968.59,0.62762,0.39476,1.01034,0.96164,0.94551,0.96444,0.79991,0.70751,0.34223,1.15561,0.00024058,0.00024058,0.00024058
27,1005.32,0.65038,0.40702,1.03659,0.93731,0.94676,0.96871,0.80486,0.70121,0.33018,1.13958,0.000239822,0.000239822,0.000239822
28,1042.51,0.63918,0.39938,1.01721,0.95746,0.96015,0.96877,0.79982,0.70309,0.32776,1.15024,0.000239036,0.000239036,0.000239036
29,1079.44,0.6155,0.378,0.99993,0.96558,0.95327,0.97143,0.81676,0.69872,0.33048,1.15167,0.000238222,0.000238222,0.000238222
30,1116.75,0.62052,0.39365,1.01142,0.93713,0.9589,0.96673,0.80071,0.71558,0.34181,1.15995,0.000237381,0.000237381,0.000237381
31,1154.39,0.62828,0.38766,1.00815,0.96914,0.94414,0.9728,0.80837,0.73192,0.33458,1.15246,0.000236512,0.000236512,0.000236512
32,1191.63,0.61871,0.38888,1.01264,0.96856,0.94523,0.9697,0.81814,0.69357,0.3233,1.13924,0.000235616,0.000235616,0.000235616
33,1228.92,0.61788,0.37243,1.006,0.96333,0.94818,0.97003,0.81118,0.70536,0.32323,1.15861,0.000234693,0.000234693,0.000234693
34,1265.69,0.61242,0.37373,0.99854,0.95815,0.93783,0.96813,0.81482,0.70867,0.34053,1.16297,0.000233743,0.000233743,0.000233743
35,1302.3,0.61693,0.37857,1.00824,0.95001,0.94316,0.96826,0.80364,0.7005,0.32686,1.15834,0.000232767,0.000232767,0.000232767
36,1339.04,0.60422,0.37992,0.99205,0.94535,0.94853,0.96912,0.81691,0.68997,0.32342,1.15746,0.000231764,0.000231764,0.000231764
37,1375.66,0.61076,0.37765,1.01558,0.95705,0.94126,0.96608,0.81164,0.6852,0.32724,1.14093,0.000230736,0.000230736,0.000230736
38,1413.24,0.60514,0.36804,1.00208,0.95852,0.94417,0.97186,0.82299,0.69192,0.32349,1.15249,0.000229681,0.000229681,0.000229681
39,1450.6,0.60283,0.3711,0.99993,0.94389,0.94716,0.96636,0.80142,0.73847,0.34271,1.16052,0.000228601,0.000228601,0.000228601
40,1487.85,0.59652,0.35179,0.99045,0.94969,0.9491,0.96918,0.82482,0.6693,0.32047,1.1335,0.000227496,0.000227496,0.000227496
41,1525.07,0.58727,0.35558,0.98413,0.97142,0.9476,0.97206,0.82482,0.66896,0.32082,1.14386,0.000226366,0.000226366,0.000226366
42,1561.92,0.59253,0.35422,0.98806,0.94723,0.94518,0.96874,0.82764,0.66892,0.3433,1.14179,0.000225211,0.000225211,0.000225211
43,1598.63,0.59488,0.36109,0.99609,0.96114,0.9571,0.96968,0.82449,0.67072,0.32271,1.13993,0.000224032,0.000224032,0.000224032
44,1635.66,0.5834,0.36414,0.98939,0.95757,0.94231,0.96714,0.82071,0.67336,0.32436,1.14041,0.000222828,0.000222828,0.000222828
45,1672.85,0.5892,0.3655,0.98505,0.9664,0.95192,0.97052,0.82203,0.68874,0.31133,1.15436,0.000221601,0.000221601,0.000221601
46,1710.85,0.5845,0.358,0.98237,0.92869,0.95841,0.96961,0.82056,0.68562,0.31335,1.14682,0.00022035,0.00022035,0.00022035
47,1748.08,0.58708,0.35215,0.99911,0.96941,0.93106,0.96933,0.83299,0.67729,0.31799,1.14875,0.000219076,0.000219076,0.000219076
