epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0089,1.13686,1.42288,1.17709,0.04493,0.30712,0.02431,0.01181,2.20284,21.671,2.54355,0.000654762,0.000654762,0.000654762
2,74.6902,1.21435,0.90958,1.17093,0,0,0,0,nan,nan,nan,0.00131489,0.00131489,0.00131489
3,109.944,1.20403,0.89337,1.15598,0.01261,0.18352,0.00483,0.00277,nan,nan,nan,0.00196841,0.00196841,0.00196841
4,145.574,1.18466,0.81509,1.15733,0.73127,0.31086,0.36347,0.24534,1.99405,3.74564,2.10846,0.0019703,0.0019703,0.0019703
5,183.985,1.16473,0.75765,1.13199,0.7943,0.68165,0.76554,0.49258,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,220.207,1.13794,0.72209,1.13171,0.84499,0.70787,0.827,0.55147,1.34397,1.46842,1.52067,0.0019505,0.0019505,0.0019505
7,256.384,1.1131,0.69006,1.11537,0.85962,0.84859,0.91886,0.63517,1.18832,1.00208,1.3813,0.0019406,0.0019406,0.0019406
8,296.819,1.07192,0.65011,1.0976,0.82235,0.79026,0.87312,0.63079,1.11198,1.44846,1.31894,0.0019307,0.0019307,0.0019307
9,331.79,1.07226,0.65949,1.10443,0.87656,0.89139,0.9254,0.61831,1.20267,0.82588,1.32175,0.0019208,0.0019208,0.0019208
10,367.036,1.07165,0.6648,1.10014,0.85108,0.87758,0.90377,0.64005,1.18188,0.90852,1.3355,0.0019109,0.0019109,0.0019109
11,402.786,1.02733,0.6113,1.07382,0.88819,0.83521,0.91155,0.64749,1.1058,0.81552,1.28911,0.001901,0.001901,0.001901
12,444.875,1.02224,0.59495,1.07469,0.85636,0.79026,0.83979,0.57218,1.24382,0.96133,1.36626,0.0018911,0.0018911,0.0018911
13,479.958,1.02386,0.59421,1.0663,0.89562,0.82397,0.91046,0.62052,1.18886,0.77662,1.32785,0.0018812,0.0018812,0.0018812
14,515.628,1.00897,0.58361,1.06504,0.88432,0.80167,0.91174,0.66561,1.06834,0.81621,1.25374,0.0018713,0.0018713,0.0018713
15,550.894,1.02057,0.60499,1.0769,0.90855,0.89513,0.95193,0.7024,1.02887,0.67362,1.25859,0.0018614,0.0018614,0.0018614
16,591.802,1.00707,0.58032,1.06665,0.94384,0.9441,0.97921,0.72722,1.03818,0.64091,1.20881,0.0018515,0.0018515,0.0018515
17,627.356,0.98737,0.55668,1.06025,0.95707,0.92135,0.96353,0.69262,1.05291,0.6053,1.21505,0.0018416,0.0018416,0.0018416
18,662.084,0.99348,0.56073,1.05601,0.92668,0.89937,0.95186,0.69796,1.05987,0.62972,1.22442,0.0018317,0.0018317,0.0018317
19,697.227,1.02569,0.57253,1.06885,0.8794,0.79026,0.91853,0.65873,1.11059,0.74685,1.27582,0.0018218,0.0018218,0.0018218
20,732.212,0.99289,0.53223,1.06793,0.94167,0.90691,0.94886,0.68394,1.08341,0.63927,1.23312,0.0018119,0.0018119,0.0018119
21,767.39,0.98811,0.54589,1.05368,0.96094,0.92884,0.98074,0.68133,1.1203,0.56108,1.2512,0.001802,0.001802,0.001802
22,802.5,0.9777,0.54878,1.04847,0.91774,0.89139,0.94394,0.6729,1.09581,0.64415,1.22898,0.0017921,0.0017921,0.0017921
23,837.517,0.99324,0.53244,1.05214,0.91314,0.86624,0.94754,0.67704,1.13363,0.62081,1.26373,0.0017822,0.0017822,0.0017822
24,872.902,0.98694,0.54757,1.05355,0.95356,0.92275,0.97432,0.71693,1.02797,0.58449,1.19642,0.0017723,0.0017723,0.0017723
25,907.668,0.96014,0.52763,1.03755,0.90074,0.94007,0.96186,0.70874,1.03493,0.58274,1.20953,0.0017624,0.0017624,0.0017624
26,943.182,0.97887,0.52311,1.04688,0.78812,0.90555,0.93428,0.69183,1.01869,0.72333,1.22199,0.0017525,0.0017525,0.0017525
27,977.98,0.96806,0.52314,1.05008,0.94464,0.92884,0.98093,0.68375,1.07959,0.54115,1.22669,0.0017426,0.0017426,0.0017426
28,1013.36,0.9886,0.52948,1.05475,0.93531,0.92509,0.97497,0.69113,1.0597,0.55446,1.22553,0.0017327,0.0017327,0.0017327
29,1048.13,0.98579,0.52413,1.05613,0.87955,0.95726,0.97428,0.70563,1.07138,0.55444,1.2216,0.0017228,0.0017228,0.0017228
30,1083.42,0.95896,0.50228,1.04006,0.9404,0.97004,0.98707,0.72637,1.02318,0.50619,1.21757,0.0017129,0.0017129,0.0017129
31,1124.44,0.97661,0.52624,1.05429,0.92219,0.88773,0.95991,0.66837,1.15075,0.6333,1.24596,0.001703,0.001703,0.001703
32,1159.17,0.9819,0.5157,1.06515,0.89271,0.63296,0.76136,0.51676,1.24747,1.1441,1.32254,0.0016931,0.0016931,0.0016931
33,1194.29,0.96761,0.50342,1.02888,0.96398,0.97004,0.98802,0.75242,0.94206,0.49688,1.16506,0.0016832,0.0016832,0.0016832
34,1235.1,0.97027,0.49602,1.04358,0.94464,0.95872,0.98278,0.7465,1.00378,0.49171,1.18209,0.0016733,0.0016733,0.0016733
35,1269.8,0.95808,0.50578,1.0495,0.96315,0.93633,0.97877,0.73288,0.99913,0.51108,1.18012,0.0016634,0.0016634,0.0016634
36,1304.96,0.95829,0.48815,1.04655,0.94046,0.93633,0.98377,0.72482,1.01359,0.5184,1.1886,0.0016535,0.0016535,0.0016535
37,1339.79,0.93515,0.47763,1.02822,0.93898,0.96255,0.98441,0.72741,0.99605,0.50684,1.18691,0.0016436,0.0016436,0.0016436
38,1374.91,0.92693,0.4932,1.02408,0.90324,0.94007,0.97485,0.72232,1.01947,0.5262,1.22504,0.0016337,0.0016337,0.0016337
39,1409.69,0.94039,0.4965,1.03269,0.93363,0.94827,0.98326,0.73657,0.99921,0.55243,1.1975,0.0016238,0.0016238,0.0016238
40,1444.91,0.94621,0.47545,1.02993,0.96092,0.95506,0.98619,0.70911,1.07651,0.50249,1.23353,0.0016139,0.0016139,0.0016139
41,1479.83,0.93834,0.47798,1.0327,0.95779,0.95506,0.98426,0.74783,1.00048,0.50801,1.18134,0.001604,0.001604,0.001604
42,1514.89,0.94983,0.48436,1.04476,0.96552,0.96255,0.98785,0.73825,0.97331,0.48976,1.1671,0.0015941,0.0015941,0.0015941
43,1550.12,0.92414,0.47677,1.02565,0.96157,0.9588,0.98014,0.72509,1.01264,0.51534,1.18849,0.0015842,0.0015842,0.0015842
44,1585.07,0.94519,0.47025,1.02541,0.9463,0.94382,0.98374,0.74958,0.98876,0.48563,1.20852,0.0015743,0.0015743,0.0015743
45,1620.33,0.92833,0.47224,1.02464,0.94108,0.95706,0.98668,0.73039,1.00381,0.51424,1.17918,0.0015644,0.0015644,0.0015644
46,1655.09,0.91763,0.46057,1.02346,0.96841,0.95131,0.9851,0.73353,1.0072,0.48864,1.18227,0.0015545,0.0015545,0.0015545
47,1690.61,0.92873,0.48449,1.03271,0.95917,0.96255,0.98845,0.73841,1.00728,0.47015,1.18156,0.0015446,0.0015446,0.0015446
48,1725.29,0.92905,0.479,1.03199,0.94099,0.9556,0.97678,0.72301,0.99854,0.50962,1.18366,0.0015347,0.0015347,0.0015347
49,1760.69,0.92837,0.47507,1.02322,0.95473,0.95131,0.9865,0.7451,0.97905,0.47702,1.18265,0.0015248,0.0015248,0.0015248
50,1795.5,0.91514,0.47152,1.02154,0.97184,0.95131,0.98448,0.74502,0.98936,0.48311,1.16797,0.0015149,0.0015149,0.0015149
51,1830.86,0.91336,0.4548,1.0257,0.9582,0.95506,0.9888,0.73964,1.00063,0.49427,1.17561,0.001505,0.001505,0.001505
